,Netflix,Rotten Tomatoes,Title
1665,1,36%,Puerto Ricans in Paris
1667,1,25%,Skin Trade
1680,1,13%,Cats & Dogs: The Revenge of Kitty Galore
1686,1,10%,Jab Harry Met Sejal
1687,1,4%,The Roommate
1690,1,25%,The Vault
1691,1,100%,Theatre of Life
1694,1,45%,The Laws of Thermodynamics
1704,1,6%,Some Kind of Beautiful
1705,1,60%,I Am the Pretty Thing That Lives in the House
1708,1,21%,The Adderall Diaries
1711,1,100%,CRD
1716,1,30%,Ready
1719,1,32%,The Legacy of a Whitetail Deer Hunter
1730,1,12%,First Kill
1733,1,51%,Miss Julie
1737,1,82%,Theo Who Lived
1743,1,18%,The Bye Bye Man
1751,1,22%,Spy Kids: All the Time in the World
1761,1,20%,The Little Mermaid
1765,1,100%,Invisible Essence: The Little Prince
1766,1,40%,Naam Shabana
1775,1,12%,Birthmarked
1783,1,62%,Mr. Pig
1801,1,7%,The Black Prince
1806,1,25%,The Humanity Bureau
1808,1,22%,Big Kill
1810,1,43%,Girlfriend's Day
1814,1,18%,All I Wish
1816,1,17%,I Don't Know How She Does It
1817,1,20%,Bob Lazar: Area 51 and Flying Saucers
1823,1,100%,Highly Strung
1845,1,19%,Visions
1846,1,43%,The Most Hated Woman in America
1851,1,9%,Good People
1857,1,11%,Hoodwinked Too! Hood VS. Evil
1865,1,17%,Swiped
1872,1,44%,Gori Tere Pyaar Mein
1884,1,82%,The Rehearsal
1909,1,29%,Don Verdean
1932,1,23%,The Clapper
1941,1,20%,Perdida
1960,1,27%,Havenhurst
1965,1,11%,God's Not Dead: A Light in Darkness
1973,1,36%,Judwaa 2
1984,1,71%,River's Edge
1997,1,90%,The Last Resort
2007,1,22%,Azhar
2030,1,50%,Blood Money
2052,1,29%,Aiyaary
2070,1,8%,The Last Face
2090,1,40%,Chronically Metropolitan
2091,1,40%,Lucknow Central
2100,1,50%,The Drowning
2102,1,50%,Heroine
2120,1,20%,Judy Moody and the Not Bummer Summer
2134,1,15%,Fitoor
2138,1,43%,White Chamber
2141,1,50%,Curtiz
2143,1,13%,Woody Woodpecker
2155,1,67%,Heirs
2161,1,15%,Revenge of the Green Dragons
2163,1,43%,Mostly Sunny
2179,1,33%,Deep
2181,1,10%,Krystal
2191,1,67%,Animas
2193,1,6%,The Devil Inside
2213,1,10%,Happy Family
2214,1,29%,Reincarnated
2219,1,26%,Kath & Kimderella
2222,1,22%,14 Cameras
2232,1,19%,Shark Night 3D
2239,1,24%,The Runner
2240,1,40%,Spanish Affair 2
2244,1,13%,Kings
2255,1,75%,Brahman Naman
2256,1,23%,All the Devil's Men
2316,1,17%,Monsters: Dark Continent
2323,1,44%,The Devil and Father Amorth
2342,1,40%,Sadie's Last Days on Earth
2346,1,16%,A Glimpse Inside the Mind of Charles Swan III
2438,1,50%,Dry Martina
2451,1,6%,I'm in Love with a Church Girl
2472,1,33%,Poster Boys
2473,1,43%,A Flying Jatt
2476,1,27%,Temple
2483,1,23%,The Open House
2515,1,11%,Change in the Air
2524,1,83%,Zubaan
2578,1,63%,The Fourth Direction
2590,1,18%,Monster Island
2595,1,20%,A Perfect Man
2625,1,13%,Day of the Dead: Bloodline
2660,1,16%,Planetarium
2683,1,29%,Dear Dad
2684,1,38%,I Am Vengeance
2743,1,28%,Five Nights in Maine
2793,1,75%,Stray Bullet
2894,1,60%,New Money
2913,1,13%,Viking Destiny
2957,1,40%,Gour Hari Dastaan
3139,1,22%,Black Rose
3205,1,11%,Tees Maar Khan
3230,1,60%,Garbage
3332,1,40%,Mantostaan
3365,1,20%,The Price of Success
3430,1,40%,Mantra
3440,1,17%,Coffee with D
