,Hulu,IMDb,Title
3839,1,6.3,Grabbers
3841,1,6.4,The Housemaid
3842,1,6.1,Little Woods
3844,1,6.6,In Search of Greatness
3845,1,7.0,Food Evolution
3847,1,6.0,The Den
3848,1,6.0,Wolf Warrior 2
3849,1,7.2,Dumb: The Story of Big Brother Magazine
3850,1,6.6,Goodbye First Love
3851,1,6.9,The 33
3853,1,6.6,March of the Penguins 2
3855,1,7.4,Seymour: An Introduction
3857,1,6.1,The Childhood of a Leader
3859,1,5.3,A Very Sordid Wedding
3861,1,6.8,Dina
3862,1,6.2,Dog Days
3863,1,5.7,Monsters and Men
3864,1,5.8,The Canal
3865,1,6.5,Leap Year
3867,1,6.8,Under the Tree
3869,1,6.2,Hello I Must Be Going
3870,1,7.4,Two Trains Runnin'
3873,1,6.3,Before I Go to Sleep
3874,1,7.3,Eating Animals
3875,1,5.5,Mom and Dad
3876,1,6.2,Touched with Fire
3878,1,5.3,Starfish
3880,1,7.2,The First Monday in May
3881,1,6.5,The Miracle Season
3882,1,6.9,Burden
3883,1,5.7,Downsizing
3884,1,6.2,Lowlife
3885,1,6.3,The Blue Room
3889,1,6.5,Non-Fiction
3890,1,8.3,Larger than Life: The Kevyn Aucoin Story
3891,1,6.5,The Bookshop
3892,1,5.8,Baskın
3896,1,6.0,Overboard
3897,1,6.1,Henry Gamble's Birthday Party
3898,1,6.7,"Nico, 1988"
3900,1,5.9,Joshy
3902,1,6.7,Finding Your Feet
3903,1,6.4,The Princess of Montpensier
3904,1,6.9,Citizen Jane: Battle for the City
3905,1,5.6,High-Rise
3906,1,6.2,Unlocked
3907,1,7.5,Far From The Tree
3908,1,6.7,Freak Show
3910,1,5.5,AWOL
3911,1,5.9,Haze
3912,1,5.9,Maze
3913,1,5.7,Legion of Brothers
3915,1,5.1,The Archer
3920,1,7.0,Divide and Conquer: The Story of Roger Ailes
3922,1,6.6,The Last Word
3925,1,5.0,Whose Streets?
3926,1,5.9,Vox Lux
3927,1,7.3,Take Every Wave: The Life of Laird Hamilton
3928,1,6.7,Leaning Into the Wind: Andy Goldsworthy
3933,1,6.3,The Gospel According to André
3934,1,6.1,A Good Old Fashioned Orgy
3936,1,5.6,The Osiris Child
3938,1,6.2,Ballet 422
3939,1,5.2,Shelley
3940,1,5.8,The Escape
3941,1,6.2,Where Hands Touch
3942,1,6.3,The Myth of the American Sleepover
3944,1,6.4,Anchor and Hope
3945,1,5.7,Antiviral
3946,1,6.0,Flower
3947,1,5.8,All Square
3952,1,6.5,Already Tomorrow in Hong Kong
3953,1,5.7,We Are What We Are
3954,1,6.4,Hungry Hearts
3955,1,5.9,The Tall Man
3956,1,6.5,Scenic Route
3959,1,6.2,A Crooked Somebody
3961,1,5.7,Do I Sound Gay?
3964,1,5.4,Road Games
3965,1,6.0,Let the Sunshine In
3966,1,5.6,Wild Card
3968,1,5.7,Brick Mansions
3972,1,7.1,Ramen Heads
3973,1,5.2,Beyond the Gates
3975,1,5.2,The Devil's Doorway
3977,1,5.6,The Year of Spectacular Men
3979,1,7.5,Trigun: Badlands Rumble
3980,1,5.8,Digging for Fire
3981,1,6.0,Before We Vanish
3982,1,7.1,Here to be Heard: The Story of the Slits
3984,1,6.4,Stella's Last Weekend
3985,1,6.5,Kiki
3986,1,5.4,Midnighters
3988,1,5.5,Damsel
3989,1,6.5,Killing Them Safely
3990,1,5.2,Conan the Barbarian
3992,1,6.5,Cantinflas
3993,1,4.7,Madea's Big Happy Family
3994,1,5.6,What We Become
3995,1,5.9,Free Birds
3997,1,5.8,I Still See You
3999,1,5.9,The Girl King
4001,1,5.5,WolfCop
4003,1,5.8,Pilgrimage
4006,1,5.1,Dementia
4007,1,5.8,Acrimony
4011,1,6.0,Mad to Be Normal
4012,1,5.9,The Last Race
4013,1,6.4,Undrafted
4014,1,5.8,2:22
4015,1,5.3,The Cleanse
4016,1,6.8,Take My Nose... Please!
4017,1,5.0,10x10
4018,1,7.3,Harry Benson: Shoot First
4019,1,6.4,The Reagan Show
4021,1,7.1,Fairy Tail the Movie: Phoenix Priestess
4023,1,5.7,Proxy
4024,1,4.9,Welcome to Mercy
4025,1,5.5,Permanent
4026,1,5.4,Terminal
4027,1,6.4,Walking with the Enemy
4028,1,5.7,Crash Pad
4029,1,5.1,Abduction
4030,1,5.6,The Big Wedding
4031,1,5.6,Spinning Man
4032,1,5.8,Golden Exits
4033,1,4.9,Madea's Witness Protection
4034,1,6.0,Playing It Cool
4036,1,5.3,Errors of the Human Body
4040,1,5.3,Phoenix Forgotten
4042,1,4.8,Texas Chainsaw 3D
4043,1,6.5,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat
4044,1,6.1,American Folk
4045,1,4.8,Curvature
4046,1,5.1,The Alchemist Cookbook
4047,1,5.1,"I, Frankenstein"
4048,1,5.4,Love After Love
4049,1,5.2,The Houses October Built
4051,1,5.6,11 Minutes
4053,1,5.8,28 Hotel Rooms
4055,1,5.5,The Monkey King 3
4056,1,7.0,Getting Go: The Go Doc Project
4057,1,5.2,Sherlock Gnomes
4058,1,8.0,Batman & Bill
4059,1,5.3,Cruise
4060,1,4.9,Distorted
4061,1,5.6,The Numbers Station
4062,1,5.5,In a Relationship
4063,1,5.7,The Female Brain
4064,1,6.9,Rags
4065,1,6.9,The Gardener
4066,1,5.7,100 Streets
4067,1,6.2,Legendary
4068,1,5.8,And So It Goes
4069,1,6.7,Chef Flynn
4070,1,5.7,6 Below: Miracle on the Mountain
4071,1,6.3,Back in Time
4073,1,6.2,Grace Jones: Bloodlight and Bami
4074,1,6.3,Racer and the Jailbird
4075,1,5.8,Romeo & Juliet
4076,1,5.8,Time Freak
4078,1,5.8,The Cage Fighter
4079,1,5.6,Hollow in the Land
4080,1,5.4,Fun Size
4081,1,6.7,Black Gold
4082,1,7.4,Long Time Coming: A 1955 Baseball Story
4083,1,5.3,A Kind of Murder
4085,1,5.3,The Colony
4087,1,5.0,Black Cop
4089,1,4.9,Primal
4091,1,4.8,Nobody's Fool
4092,1,5.3,Bare
4093,1,5.3,Once Upon a Time in Venice
4094,1,4.5,Passage to Mars
4095,1,6.1,Mapplethorpe
4096,1,6.2,Gintama
4097,1,6.6,Dr. Feelgood
4098,1,7.0,The Burden
4100,1,6.0,Pokémon the Movie: Volcanion and the Mechanical Marvel
4101,1,4.6,Half Magic
4102,1,6.7,Frank Serpico
4105,1,5.8,Girl Most Likely
4106,1,6.4,ma ma
4107,1,7.3,Havana Motor Club
4110,1,5.0,The Strange Ones
4111,1,5.1,Legends of Oz: Dorothy's Return
4112,1,5.8,Naz & Maalik
4113,1,6.2,The Snow Queen 3: Fire and Ice
4114,1,4.7,Black Rock
4115,1,6.7,Loro 1
4116,1,6.6,Banking on Bitcoin
4117,1,5.2,The Cokeville Miracle
4118,1,7.2,Trevor Noah: You Laugh But It's True
