,Prime Video,IMDb,Title
3332,1,6.2,Mantostaan
3358,1,5.5,History of Joy
3359,1,4.5,Tamanchey
3367,1,3.7,Frat Star
3372,1,4.7,Grass
3422,1,3.9,Tezz
3425,1,6.2,Sam Kinison: The Scream Continues
3427,1,5.7,Tum Milo Toh Sahi
3430,1,5.2,Mantra
3438,1,5.9,Daffedar
3439,1,2.8,Hisss
3440,1,4.4,Coffee with D
3445,1,3.8,Cappuccino
3569,1,7.5,A Quiet Place
3572,1,7.6,True Grit
3586,1,7.0,The Cabin in the Woods
3592,1,7.0,Super 8
3593,1,7.7,Mission: Impossible - Fallout
3594,1,7.2,Coherence
3595,1,6.9,Annihilation
3598,1,7.5,The Guilty
3600,1,6.8,Bumblebee
3601,1,7.2,Rango
3602,1,7.3,Instant Family
3606,1,7.5,We Need to Talk About Kevin
3609,1,6.8,A Simple Favor
3610,1,7.1,Creed II
3623,1,7.9,Embrace of the Serpent
3626,1,7.8,The Second Mother
3629,1,7.4,Love & Mercy
3634,1,7.3,The Way Back
3638,1,7.3,Lucky
3661,1,7.4,Cartel Land
3663,1,7.1,A Brilliant Young Mind
3665,1,7.4,The Next Three Days
3674,1,7.5,"Waiting for ""Superman"""
3675,1,6.8,The Skeleton Twins
3676,1,7.3,I Can Only Imagine
3688,1,6.6,"Juliet, Naked"
3705,1,6.6,Arbitrage
3711,1,6.7,Rare Exports: A Christmas Tale
3713,1,7.0,Jackass 3D
3729,1,6.2,Transformers: Dark of the Moon
3732,1,6.2,No Strings Attached
3737,1,6.6,Operation Finale
3741,1,5.7,The Domestics
3742,1,8.3,Andy Irons: Kissed by God
3744,1,6.3,The Commuter
3749,1,5.9,Footloose
3756,1,6.0,The Spy Who Dumped Me
3760,1,7.5,Burn
3761,1,7.2,Margarita with a Straw
3762,1,6.8,Odd Thomas
3763,1,6.4,Every Day
3766,1,6.4,It's a Disaster
3772,1,6.4,The Frozen Ground
3778,1,6.4,Death Wish
3780,1,6.0,Anna and the Apocalypse
3785,1,7.3,Dior and I
3790,1,6.4,High Strung
3791,1,6.1,The Last Days
3794,1,6.6,Man on a Ledge
3797,1,6.5,Meek's Cutoff
3804,1,6.1,The Overnight
3808,1,5.9,Southbound
3810,1,6.1,American Ultra
3824,1,5.6,Paranormal Activity 2
3827,1,6.1,Friends with Kids
3829,1,6.1,I Remember You
3830,1,6.7,Forever My Girl
3833,1,7.0,Welcome to the Rileys
3859,1,5.3,A Very Sordid Wedding
3864,1,5.8,The Canal
3869,1,6.2,Hello I Must Be Going
3876,1,6.2,Touched with Fire
3878,1,5.3,Starfish
3883,1,5.7,Downsizing
3884,1,6.2,Lowlife
3891,1,6.5,The Bookshop
3896,1,6.0,Overboard
3897,1,6.1,Henry Gamble's Birthday Party
3902,1,6.7,Finding Your Feet
3910,1,5.5,AWOL
3911,1,5.9,Haze
3934,1,6.1,A Good Old Fashioned Orgy
3953,1,5.7,We Are What We Are
3955,1,5.9,The Tall Man
3966,1,5.6,Wild Card
3980,1,5.8,Digging for Fire
3990,1,5.2,Conan the Barbarian
3992,1,6.5,Cantinflas
3993,1,4.7,Madea's Big Happy Family
3997,1,5.8,I Still See You
3999,1,5.9,The Girl King
4007,1,5.8,Acrimony
4025,1,5.5,Permanent
4028,1,5.7,Crash Pad
4029,1,5.1,Abduction
4030,1,5.6,The Big Wedding
4033,1,4.9,Madea's Witness Protection
4034,1,6.0,Playing It Cool
4042,1,4.8,Texas Chainsaw 3D
4044,1,6.1,American Folk
4046,1,5.1,The Alchemist Cookbook
4047,1,5.1,"I, Frankenstein"
4056,1,7.0,Getting Go: The Go Doc Project
4057,1,5.2,Sherlock Gnomes
4061,1,5.6,The Numbers Station
4065,1,6.9,The Gardener
4067,1,6.2,Legendary
4071,1,6.3,Back in Time
4080,1,5.4,Fun Size
4081,1,6.7,Black Gold
4091,1,4.8,Nobody's Fool
4098,1,7.0,The Burden
4105,1,5.8,Girl Most Likely
4106,1,6.4,ma ma
4117,1,5.2,The Cokeville Miracle
4124,1,5.4,Matriarch
4136,1,5.4,Serena
4143,1,5.7,Dismissed
4145,1,6.1,The Confessions
4156,1,5.4,Daylight's End
4163,1,6.3,Get Big
4164,1,4.5,The Dinner
4168,1,6.3,Swindle
4170,1,5.1,Breakup at a Wedding
4172,1,5.1,Action Point
4184,1,4.7,Ride
4202,1,6.2,The Sweet Life
4204,1,4.2,It Came from the Desert
4207,1,5.7,The Taste of Money
4220,1,4.8,Inside
4226,1,7.4,Ron White: A Little Unprofessional
4227,1,4.8,Out of the Dark
4242,1,5.0,Bernie the Dolphin
4246,1,5.6,35 and Ticking
4260,1,4.6,Feral
4268,1,5.2,The Reunion
4272,1,4.9,Allure
4273,1,6.4,Concrete Kids
4276,1,4.8,Catching Faith
4285,1,6.4,Albert
4293,1,5.1,"Good Morning, Killer"
4298,1,5.2,Hide
4301,1,7.8,Funke
4313,1,4.5,Inside Out
4315,1,5.2,Savage Youth
4326,1,4.5,I Am Alone
4329,1,7.4,Nothing Is Truer than Truth
4334,1,6.7,D.L. Hughley: Reset
4335,1,4.7,Hornet's Nest
4336,1,4.8,All About E
4339,1,5.1,Bad Roomies
4344,1,4.5,Beneath the Darkness
4345,1,5.7,The Box
4351,1,6.2,Beyond the Comfort Zone - 13 Countries to K2
4362,1,4.6,Ricochet
4366,1,6.8,EuroTrump
4374,1,3.2,Air Strike
4376,1,4.5,No Way Out
4379,1,6.3,Amy Winehouse - A Last Goodbye
4381,1,3.8,24 Hour Love
4391,1,5.6,Hot Guys with Guns
4392,1,2.3,Richard The Lionheart
4397,1,6.1,"Michael Jackson: Life, Death and Legacy"
4426,1,2.7,The Clintons: An American Odyssey
4427,1,5.1,Boomtown
4429,1,2.5,Night of the Living Dead: Resurrection
4438,1,8.0,The Avengers
4444,1,8.1,The Handmaiden
4447,1,7.4,Lady Bird
4450,1,7.5,The Big Sick
4451,1,7.8,Manchester by the Sea
4452,1,7.8,The Man from Nowhere
4453,1,8.0,Short Term 12
4454,1,7.0,Thor
4455,1,6.9,Captain America: The First Avenger
4461,1,7.4,The Disaster Artist
4462,1,7.0,Iron Man 2
4466,1,7.5,The Wailing
4474,1,7.4,Eighth Grade
4475,1,7.3,Hereditary
4476,1,8.3,Temple Grandin
4477,1,7.3,The Lincoln Lawyer
4482,1,7.0,Logan Lucky
4483,1,8.2,The Act of Killing
4484,1,7.2,Leave No Trace
4489,1,7.5,Inside Llewyn Davis
4492,1,7.8,Pride
4497,1,8.3,Tumbbad
4498,1,7.7,A Man Called Ove
4499,1,7.5,The Imposter
4503,1,7.8,The Salesman
4506,1,8.2,Queen
4507,1,8.5,Samsara
4510,1,7.2,Seven Psychopaths
4516,1,8.3,The Look of Silence
4517,1,7.6,Cold War
4518,1,7.1,Bone Tomahawk
4522,1,7.4,Paterson
4529,1,7.4,mid90s
4531,1,7.8,Raazi
4534,1,7.8,I Am Not Your Negro
4535,1,7.2,The Ghost Writer
4540,1,7.6,Indie Game: The Movie
4542,1,7.5,Miss Sloane
4543,1,7.9,Ernest & Celestine
