,Hulu,Rotten Tomatoes,Title
3870,1,100%,Two Trains Runnin'
3873,1,37%,Before I Go to Sleep
3874,1,91%,Eating Animals
3875,1,75%,Mom and Dad
3876,1,68%,Touched with Fire
3878,1,90%,Starfish
3880,1,78%,The First Monday in May
3881,1,51%,The Miracle Season
3882,1,97%,Burden
3883,1,47%,Downsizing
3884,1,91%,Lowlife
3885,1,90%,The Blue Room
3889,1,87%,Non-Fiction
3890,1,90%,Larger than Life: The Kevyn Aucoin Story
3891,1,57%,The Bookshop
3892,1,79%,Baskın
3896,1,24%,Overboard
3897,1,83%,Henry Gamble's Birthday Party
3898,1,92%,"Nico, 1988"
3900,1,81%,Joshy
3902,1,70%,Finding Your Feet
3903,1,85%,The Princess of Montpensier
3904,1,95%,Citizen Jane: Battle for the City
3905,1,60%,High-Rise
3906,1,26%,Unlocked
3907,1,90%,Far From The Tree
3908,1,54%,Freak Show
3910,1,93%,AWOL
3911,1,88%,Haze
3912,1,92%,Maze
3913,1,100%,Legion of Brothers
3915,1,80%,The Archer
3920,1,90%,Divide and Conquer: The Story of Roger Ailes
3922,1,40%,The Last Word
3925,1,98%,Whose Streets?
3926,1,61%,Vox Lux
3927,1,76%,Take Every Wave: The Life of Laird Hamilton
3928,1,98%,Leaning Into the Wind: Andy Goldsworthy
3933,1,86%,The Gospel According to André
3934,1,35%,A Good Old Fashioned Orgy
3936,1,65%,The Osiris Child
3938,1,87%,Ballet 422
3939,1,92%,Shelley
3940,1,77%,The Escape
3941,1,40%,Where Hands Touch
3942,1,81%,The Myth of the American Sleepover
3944,1,75%,Anchor and Hope
3945,1,66%,Antiviral
3946,1,50%,Flower
3947,1,91%,All Square
3952,1,74%,Already Tomorrow in Hong Kong
3953,1,72%,We Are What We Are
3954,1,63%,Hungry Hearts
3955,1,41%,The Tall Man
3956,1,67%,Scenic Route
3959,1,80%,A Crooked Somebody
3961,1,81%,Do I Sound Gay?
3964,1,84%,Road Games
3965,1,86%,Let the Sunshine In
3966,1,32%,Wild Card
3968,1,25%,Brick Mansions
3972,1,63%,Ramen Heads
3973,1,83%,Beyond the Gates
3975,1,78%,The Devil's Doorway
3977,1,67%,The Year of Spectacular Men
3980,1,66%,Digging for Fire
3981,1,80%,Before We Vanish
3982,1,67%,Here to be Heard: The Story of the Slits
3984,1,65%,Stella's Last Weekend
3985,1,81%,Kiki
3986,1,81%,Midnighters
3988,1,67%,Damsel
3989,1,91%,Killing Them Safely
3990,1,25%,Conan the Barbarian
3992,1,45%,Cantinflas
3993,1,37%,Madea's Big Happy Family
3994,1,78%,What We Become
3995,1,19%,Free Birds
3997,1,8%,I Still See You
3999,1,42%,The Girl King
4001,1,65%,WolfCop
4003,1,69%,Pilgrimage
4006,1,77%,Dementia
4007,1,17%,Acrimony
4011,1,64%,Mad to Be Normal
4012,1,93%,The Last Race
4013,1,25%,Undrafted
4014,1,22%,2:22
4015,1,83%,The Cleanse
4016,1,83%,Take My Nose... Please!
4017,1,67%,10x10
4018,1,85%,Harry Benson: Shoot First
4019,1,79%,The Reagan Show
4023,1,64%,Proxy
4024,1,70%,Welcome to Mercy
4025,1,44%,Permanent
4026,1,21%,Terminal
4027,1,45%,Walking with the Enemy
4028,1,54%,Crash Pad
4029,1,5%,Abduction
4030,1,7%,The Big Wedding
4031,1,42%,Spinning Man
4032,1,67%,Golden Exits
4033,1,19%,Madea's Witness Protection
4034,1,14%,Playing It Cool
4036,1,75%,Errors of the Human Body
4040,1,44%,Phoenix Forgotten
4042,1,19%,Texas Chainsaw 3D
4043,1,88%,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat
4044,1,76%,American Folk
4045,1,47%,Curvature
4046,1,80%,The Alchemist Cookbook
4047,1,5%,"I, Frankenstein"
4048,1,85%,Love After Love
4049,1,60%,The Houses October Built
4051,1,72%,11 Minutes
4053,1,47%,28 Hotel Rooms
4055,1,33%,The Monkey King 3
4057,1,27%,Sherlock Gnomes
4059,1,38%,Cruise
4060,1,18%,Distorted
4061,1,30%,The Numbers Station
4062,1,60%,In a Relationship
4063,1,37%,The Female Brain
4065,1,75%,The Gardener
4066,1,41%,100 Streets
4067,1,19%,Legendary
4068,1,18%,And So It Goes
4069,1,73%,Chef Flynn
4070,1,22%,6 Below: Miracle on the Mountain
4073,1,86%,Grace Jones: Bloodlight and Bami
4074,1,36%,Racer and the Jailbird
4075,1,24%,Romeo & Juliet
4078,1,94%,The Cage Fighter
4079,1,57%,Hollow in the Land
4080,1,25%,Fun Size
4081,1,11%,Black Gold
4082,1,67%,Long Time Coming: A 1955 Baseball Story
4083,1,38%,A Kind of Murder
4085,1,21%,The Colony
4087,1,82%,Black Cop
4089,1,75%,Primal
4091,1,24%,Nobody's Fool
4092,1,50%,Bare
4093,1,21%,Once Upon a Time in Venice
4094,1,29%,Passage to Mars
4095,1,30%,Mapplethorpe
4096,1,20%,Gintama
4097,1,83%,Dr. Feelgood
4098,1,97%,The Burden
4101,1,55%,Half Magic
4102,1,75%,Frank Serpico
4105,1,22%,Girl Most Likely
4106,1,25%,ma ma
4107,1,88%,Havana Motor Club
4110,1,54%,The Strange Ones
4111,1,17%,Legends of Oz: Dorothy's Return
4112,1,79%,Naz & Maalik
4114,1,52%,Black Rock
4120,1,55%,Saint
4123,1,50%,Manglehorn
4132,1,58%,Sneakerheadz
4135,1,73%,Tracktown
4136,1,16%,Serena
4140,1,53%,Stung
4141,1,19%,Blind
4145,1,50%,The Confessions
4149,1,62%,Most Likely to Murder
4153,1,45%,Raze
4154,1,34%,A Teacher
4159,1,33%,The Thousand Faces of Dunjia
4160,1,14%,Damascus Cover
4164,1,46%,The Dinner
4169,1,56%,Lemon
4170,1,67%,Breakup at a Wedding
4172,1,13%,Action Point
4175,1,60%,Tyrel
4177,1,17%,The Houses October Built 2
4178,1,20%,Repentance
4182,1,51%,Ismael's Ghosts
4183,1,78%,The Challenge
4187,1,33%,Devil's Gate
4188,1,38%,Contracted: Phase II
4190,1,38%,Along Came the Devil
4192,1,57%,Noma: My Perfect Storm
4200,1,45%,Almost Human
4204,1,60%,It Came from the Desert
4207,1,28%,The Taste of Money
4208,1,2%,Getaway
4215,1,39%,Don't Go
